id,defect_type,length,width,coil_id,length_position,width_position,inspection_time
1,微小水印斑,4.5,2.0,B202506-01-01,15.2,18.0,2025-06-10 10:15
2,轻微擦伤,6.0,1.5,B202506-01-02,32.4,1228.0,2025-06-10 14:30
3,局部氧化铁皮压入,8.0,4.0,B202506-02-01,55.0,1468.0,2025-06-12 09:20
4,轻微擦伤,5.5,1.2,B202506-02-01,112.0,650.0,2025-06-12 09:25
5,轻微擦伤,4.8,1.0,B202506-02-01,115.0,720.0,2025-06-12 09:26
6,边缘微细裂纹,6.5,1.8,B202506-02-02,48.0,12.0,2025-06-12 11:40
7,轻微辊印,3.0,3.0,B202506-02-02,80.0,450.0,2025-06-12 11:45
8,明显深划伤,15.0,2.5,B202506-03-01,25.0,965.0,2025-06-15 13:10
9,微小油斑,4.0,2.0,B202506-03-01,40.0,300.0,2025-06-15 13:15
10,微小油斑,3.5,1.5,B202506-03-01,65.0,520.0,2025-06-15 13:18
11,微小油斑,4.2,2.2,B202506-03-01,88.0,710.0,2025-06-15 13:20
12,氧化铁皮轻度压入,10.0,3.5,B202506-03-02,50.0,500.0,2025-06-15 15:40
13,轻微擦伤,7.0,1.5,B202506-03-02,90.0,25.0,2025-06-15 15:45
14,重皮折叠,45.0,12.0,B202506-04-01,4.5,350.0,2025-06-18 10:00
15,边缘纵向裂纹,120.0,2.5,B202506-04-02,60.0,15.0,2025-06-18 10:15
16,轻微擦伤与钝化色差,12.0,3.0,B202506-04-02,80.0,600.0,2025-06-18 10:20
17,纵向贯穿裂纹,280.0,4.0,B202506-05-01,150.0,620.0,2025-06-20 08:30
18,非金属夹杂分层,65.0,25.0,B202506-05-01,152.0,610.0,2025-06-20 08:45
19,重度结疤,25.0,18.0,B202506-05-02,85.0,450.0,2025-06-20 09:10
